agent,seed,n,message,decoded message,score
2,451227,40,test,test,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
2,451227,40,NULL,NULL,1
