agent,seed,n,message,decoded message,score
7,591469,60,ISM RIM4 05052025,IPT B291 02282024,0
7,591469,60,AKC HEHK 02072025,ODC LGO0 08012025,0
7,591469,60,APT 08DG 03282024,PARTIAL: ,0.0
7,591469,60,HTL 7D21 11102023,PARTIAL: ,0.0
7,591469,60,CLS D1SE 03192025,MSO ICLF 01032025,0
7,591469,60,LNS VNXG 05282024,SAC AYK2 09152025,0
7,591469,60,SDX WYJV 12092024,LFT PP3G 10182025,0
7,591469,60,DRG B5TE 10242025,PARTIAL: ,0.0
7,591469,60,ATY JM0B 06012025,PARTIAL: ,0.0
7,591469,60,MPZ MDI0 01212025,PARTIAL: ,0.0
7,591469,60,MBS OAXG 07142025,NOT ZUTK 03092023,0
7,591469,60,DCR J8I2 03152023,PARTIAL: ,0.0
7,591469,60,FEP CWSU 10152025,PARTIAL: ,0.0
7,591469,60,SFB OE4H 08262024,FDY F70Z 12122024,0
7,591469,60,SGW 38EU 12232024,PARTIAL: ,0.0
7,591469,60,DAY D9NS 08162023,IKK TDOH 03022025,0
7,591469,60,WOW GMW3 03122023,PARTIAL: ,0.0
7,591469,60,HKP O1PA 03212025,PARTIAL: ,0.0
7,591469,60,HUD KE2Z 06172024,PARTIAL: ,0.0
7,591469,60,SDM 9UTP 03172025,SPI DK3M 03252024,0
7,591469,60,APH 1Y2N 05232024,PARTIAL: ,0.0
7,591469,60,AMW PU3I 06182025,BFF EOL1 12062023,0
7,591469,60,PUB IXXM 04252025,LSN RLEN 02232024,0
7,591469,60,ASQ MFUL 06092025,PARTIAL: ,0.0
7,591469,60,ELV TT8D 11192024,PARTIAL: ,0.0
7,591469,60,GFK 8150 07272025,GFK 8150 07272025,1
7,591469,60,LGA PWEU 04202023,BUF 3JN9 05202025,0
7,591469,60,EAR 368N 01112024,ARB I70G 10242024,0
7,591469,60,MGM M6GD 02202025,TRM W50T 11162024,0
7,591469,60,PTB HLU3 01142023,UNU 6UHB 08232024,0
7,591469,60,RED G9R1 05102023,PARTIAL: ,0.0
7,591469,60,TVC K2RH 05182025,UDD CETO 08282025,0
7,591469,60,BGD 1B9J 01102024,PARTIAL: ,0.0
7,591469,60,DMA 28V5 02052025,PARTIAL: ,0.0
7,591469,60,HRO IMHY 06192025,MCW PCAP 01132025,0
7,591469,60,TOL 95NH 06022025,BTR Q258 06072025,0
7,591469,60,LDJ 2COO 11132025,LDJ 2COP 09122023,0
7,591469,60,MYR RW67 06052024,CEF 5CN8 05032023,0
7,591469,60,DUJ W4E7 07112025,MOD 3S7A 03262024,0
7,591469,60,CVG R87C 04042024,CVG R87C 04042024,1
7,591469,60,ELP 3FN3 05252024,GTF GY4H 11082024,0
7,591469,60,JRB LKHL 05032024,PARTIAL: ,0.0
7,591469,60,HZL QF72 01212024,SMN BEFI 01262023,0
7,591469,60,HII OGSZ 10082023,AHD PY6V 02102025,0
7,591469,60,FIL L4MH 11272024,PARTIAL: ,0.0
7,591469,60,AIK D28M 03072025,YIP 5GQB 07202024,0
7,591469,60,EUE 3O4E 05032024,PARTIAL: ,0.0
7,591469,60,PWD A50D 11112025,PARTIAL: ,0.0
7,591469,60,RKD N4OJ 04132025,MAF LVKA 03142025,0
7,591469,60,SFR X1BP 03182024,PARTIAL: ,0.0
7,591469,60,PGV 0T78 06152023,MYR YPII 03262023,0
7,591469,60,JCY 95V2 01152025,PARTIAL: ,0.0
7,591469,60,SER 5OFS 08192023,PARTIAL: ,0.0
7,591469,60,MUE C5ZM 03252025,PARTIAL: ,0.0
7,591469,60,UNU D7MR 04012024,MDD I92Y 12212023,0
7,591469,60,MTN 9Y7R 01222023,MEI 5E2T 08282023,0
7,591469,60,AVW 5XVZ 02242025,AVW 5PQX 10092023,0
7,591469,60,PAM B6AX 12282024,PARTIAL: ,0.0
7,591469,60,MZZ A7MM 10052023,PARTIAL: ,0.0
7,591469,60,KKT 1OBX 06232025,PARTIAL: ,0.0
7,591469,60,IVH 8PWZ 02012025,PARTIAL: ,0.0
7,591469,60,LAA UBMR 01202024,FDY T3JL 05172023,0
7,591469,60,PPC 3HY2 08162024,FWH G00G 11072023,0
7,591469,60,LGF NEU9 07272024,PARTIAL: ,0.0
7,591469,60,FSM MPW6 05272025,ZZV Y5UT 09022024,0
7,591469,60,MVE 9WT4 02052025,PARTIAL: ,0.0
7,591469,60,NGZ 9QAZ 01272025,PARTIAL: ,0.0
7,591469,60,KXA KGGJ 09172024,PARTIAL: ,0.0
7,591469,60,STE 1PT4 08032025,PARTIAL: ,0.0
7,591469,60,SBM 52TX 08182023,PIR FBET 03072025,0
7,591469,60,CUB 7937 07032025,PARTIAL: ,0.0
7,591469,60,PRZ YQ4K 08112024,PARTIAL: ,0.0
7,591469,60,SGW FJEM 11232023,PARTIAL: ,0.0
7,591469,60,MAC TRK8 04162025,PARTIAL: ,0.0
7,591469,60,MDD VYN5 02212025,AIZ 84FK 09112023,0
